se_id,measurement_id,org_id,project_id,measure,created_by,updated_by,created_at,updated_at,deleted_at
1269,54,2,2,59,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,55,2,2,46.68,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,56,2,2,23.15,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,57,2,2,17.29,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,58,2,2,44.07,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,59,2,2,42.35,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,60,2,2,17.07,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,61,2,2,24.04,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,53,2,2,350,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,54,2,2,58,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,55,2,2,47.13,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,56,2,2,24.09,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,57,2,2,17.07,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,58,2,2,42.99,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,59,2,2,44.59,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,60,2,2,16.94,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,61,2,2,24.79,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1271,62,2,2,253,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1271,65,2,2,24.01,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1271,66,2,2,13.32,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1271,67,2,2,17.94,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1271,68,2,2,19.36,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1271,69,2,2,18.41,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1271,70,2,2,11.19,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1271,71,2,2,35.95,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1272,72,2,2,273,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1272,75,2,2,13.9,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1272,76,2,2,16.5,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1272,77,2,2,239,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1272,80,2,2,12.25,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1272,81,2,2,10.6,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1272,82,2,2,23.85,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1273,72,2,2,273,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1273,75,2,2,18.33,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1273,76,2,2,18.79,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1273,77,2,2,237,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1273,80,2,2,11.95,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1273,81,2,2,10.45,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1273,82,2,2,25.02,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,118,2,2,504,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,119,2,2,501,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,120,2,2,85,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,121,2,2,47.57,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,122,2,2,31.15,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,123,2,2,28.63,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,124,2,2,31.96,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,125,2,2,28.04,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,131,2,2,27.28,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,132,2,2,27.8,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,133,2,2,34.76,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1274,134,2,2,32.77,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,118,2,2,501,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,119,2,2,499,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,120,2,2,87,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,122,2,2,33.75,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,123,2,2,29.01,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,124,2,2,31.31,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,125,2,2,28.22,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,131,2,2,27.19,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,132,2,2,28,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,133,2,2,34.93,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1275,134,2,2,31.65,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
